Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1835,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,10.3,5.5,-7.6,-18.9,999.9
1836,999.9,-9.4,-1.3,8.7,10.7,15.1,20.8,17.1,5.6,2,-6.3,-9.8,999.9
1837,-10.8,-6.9,-3.2,3.8,13.7,17.9,16.6,14.3,10.7,2.1,-5.1,-19.7,2.8
1838,-15.5,-10.7,-4.8,8.9,16.9,15.7,19.7,17.9,13.3,3.5,-3.6,-6.2,4.6
1839,-5.7,-8,-7.9,1,14.6,16.1,22.4,22.4,14.5,5.9,-4.8,-17.9,4.4
1840,-11.8,-12.5,-6.4,3.2,12.8,18,19.5,16.6,11.9,2.9,-3.3,-13,3.2
1841,-12.2,-13.6,-5.9,3.7,12.4,21.9,21.8,19.7,12.1,7,-1.1,-5.3,5
1842,-11.2,-5.7,-4.6,1.4,10.9,15.1,20,17,11,2.7,-1.2,-6.7,4.1
1843,-5.5,-1.6,-2.6,2.3,9.6,18.8,18.7,17,12.7,7.8,-2.2,-5.7,5.8
1844,-9.6,-8.8,-5,2.8,15.2,16.1,20.7,18.2,13.1,3.6,-7.6,-12.2,3.9
1845,-8.7,-14.8,-9.6,-0.9,8.4,12.8,19.4,17.9,13.2,3.1,-2.2,-10,2.4
1846,-11.8,-12.4,-5.2,2,11.7,18.2,20.9,16.5,10.9,4.6,-5.2,-11.6,3.2
1847,-13.4,-9.5,-9.6,0.8,10.8,19.1,19.2,21,18.6,5.6,-1.8,-12.2,4.1
1848,-20.6,-7.3,-3.5,8.8,11.6,18.3,21.3,18.4,15.2,4.6,-2.8,-14,4.2
1849,-13.6,-7.3,-4.7,1.4,8.5,12.2,15.6,15.1,9.8,8.2,-0.4,-8.2,3.1
1850,-14.3,-6.9,-6.5,1.6,12,14.5,18.3,15.7,9.7,2.4,-0.3,-1.2,3.8
1851,-7,-9.9,-2.8,3.5,10,14.3,19.7,17.2,12.3,5.3,-2.5,-2.5,4.8
1852,-7.6,-8.2,-3.9,-2.3,9.3,17.3,15.1,15.5,10.8,0.3,-5.5,-4,3.1
1853,-5.3,-4.2,-5.9,2.1,10.1,15.3,16.9,13.1,8.7,5.5,-0.9,-5.7,4.1
1854,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1855,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1856,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1857,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1858,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1859,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1860,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1861,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1862,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1863,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1864,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1865,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1866,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1867,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1868,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1869,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1870,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1871,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1872,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1873,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1874,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1875,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1876,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1877,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1878,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1879,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1880,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1881,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1882,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1883,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1884,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1885,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1886,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1887,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1888,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1889,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1890,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1891,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1892,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,3.3,-1.8,-10.7,999.9
1893,-16.2,-15.3,-4.1,0.4,9.1,15.4,16.9,15.2,8.8,6.7,999.9,999.9,999.9
1894,-5.8,-4.3,-2.8,6.2,12,14.5,16.8,16.2,7.1,2.1,-0.2,-5,4.7
1895,-7.1,-13.4,-4.5,2.6,12.5,16.9,17.3,15.2,10.5,6.4,0.6,-8.4,4.1
1896,-7.2,-8.3,-2.6,2.6,9.8,18.6,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1897,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1898,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1899,-5.4,-7.1,-7.6,3.5,9.6,12.1,19.3,13,10.8,5.4,0.6,-9.2,3.8
1900,-10.4,-8,-5.2,2.3,8.2,13.5,16.9,17.2,9.3,5.9,-2,-5.3,3.5
1901,-4.5,-10.4,-5.4,3.7,10,18.4,18.4,17.2,10.7,5.9,-3.1,-9.1,4.3
1902,-8.8,-8.8,-4.1,-0.8,8.7,13.4,14.7,13.1,8.7,2.2,-4.2,-10.3,2
1903,-6.3,-3.4,-0.3,6.5,11.4,17.2,16.8,14.1,11.3,0.7,0,999.9,999.9
1904,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1905,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1906,999.9,999.9,999.9,999.9,999.9,999.9,999.9,14.1,8,3.9,0.3,-6.4,999.9
1907,-14.2,-8.8,-2.9,3.1,8.2,15.4,17.4,13,9.3,6.6,-2.8,-14.2,2.5
1908,-8.4,-5.8,-5.4,3.7,7.9,13.6,16.7,14.2,9.3,3.5,-4.2,-5.6,3.3
1909,-6.1,-12.6,-3.5,0.7,6.2,14.7,15.1,14.6,11.7,7.9,-3,-2.3,3.6
1910,-6,-3.2,-0.3,5.9,11.6,15,16.9,12.8,10.7,2.7,-2.7,-1.8,5.1
1911,-7.7,-13.7,-4.1,2.5,11.1,13.9,15.3,16.3,10.2,3.8,1.4,-4.2,3.7
1912,-14.7,-12.2,0.8,1.6,8.8,17,16.5,16.8,9.6,0.4,-1.1,-1.7,3.5
1913,-8.1,-7.7,-0.7,6.9,8.2,13.4,17.4,16.8,10,2.7,1.6,-5.6,4.6
1914,-9.9,-1.9,-2.8,3.8,11.3,15.7,19.8,12.8,9.5,0.8,-2.7,-1.6,4.6
1915,-7.8,-7.4,-9.9,2.5,8.9,12.4,17.7,13.9,10,1.8,-4,-11.8,2.2
1916,-5.4,-5.3,-4.8,4.3,8,14.1,17.9,12.8,7.8,2.3,0.5,-4.2,4
1917,-11.5,-15.6,-11.9,3,7.4,18.5,14.8,17.5,10.7,6.5,0,-7.4,2.7
1918,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1919,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1920,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,11.3,0.6,-0.1,-6.1,999.9
1921,-7.8,-10.8,0.9,9.6,13.4,14.9,14.7,15.3,9.4,3.6,-5.6,-7.7,4.2
1922,-11,-7.2,-3.7,3,10.3,15.4,17.2,15.1,10,2.8,-0.9,-6.9,3.7
1923,-4.5,-13.2,-5.5,0.4,8.9,11.5,16.2,12.5,11,6,2.5,-5.4,3.4
1924,-11.8,-8.6,-5.6,1.2,10.8,14.7,16.1,16,12.7,6,1.1,-3.9,4.1
1925,-0.5,-1.2,-4.1,6.4,11.6,13.4,19,15.4,9.9,2.8,-3.2,-7.4,5.2
1926,-12.8,-9,-5.2,1.4,11.7,16.1,16.6,13.2,10.1,1.8,2.2,-8.5,3.1
1927,-10.9,-7.4,-1.2,3,7.7,14.2,19.7,17.4,10.3,2.5,-3.8,-10.4,3.4
1928,-6.9,-8.5,-6.7,2.6,10.7,10.7,14.7,14.3,10.6,4.7,3.7,-5.4,3.7
1929,-11.2,-17.5,-5.7,-2.2,13.1,13.6,17.1,16.1,9.2,6.4,2.2,-0.8,3.4
1930,-2.1,-8.1,-1.9,5.4,11.5,13.9,16.4,16.7,8,5.4,0.6,-8.8,4.8
1931,-8.7,-12.5,-7.3,1.5,12.6,12.6,18.5,15.9,8.2,3.3,-1.3,-6.2,3.1
1932,-2.9,-12.2,-8.2,3.5,12,14.5,19.2,17.3,11.2,4.6,-0.3,0.3,4.9
1933,-10.3,-8.6,-4.1,3.3,8.1,14.7,18,13.5,10.3,4.5,-4.4,-9.2,3
1934,-4.4,-5.7,-2.3,5.7,13,13.6,18.6,15.7,12.8,7,2.9,-6.6,5.9
1935,-10.3,-4.9,-2.6,3.3,7.8,16.3,14.5,15.8,10.4,7.9,-1.1,-3.5,4.5
1936,-4.2,-12.3,-0.9,3.9,12.2,18.8,20.2,15.7,9.5,2,1,-0.9,5.4
1937,-9.7,-7.1,-2.1,7.1,11.9,17.4,17,17.8,12.7,5.7,1,-11.1,5.1
1938,-7.8,-4.9,0.3,3.4,10.6,14.1,21.5,19.5,13.3,6.3,2.9,-7.4,6
1939,-7.8,-2.1,-4.1,2.8,9.9,15.9,18.2,18,7.7,1.1,0,-7.1,4.4
1940,-17.4,-16.5,-7.9,2,12.2,15.1,18.2,15.3,10.8,3.8,0.6,-6.3,2.5
1941,-15.4,-10.2,-6.4,-0.2,6.7,12,20.5,999.9,999.9,999.9,999.9,999.9,999.9
1942,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1943,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1944,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-0.7,-4.8,999.9
1945,-7.8,-5.4,-5.5,3.5,8.4,13.9,18.6,17,9,2.4,-1.4,-9.1,3.6
1946,-6.2,-10,-4.3,3.8,10.1,16.9,18,16,11.1,1.4,-2.8,-5.5,4
1947,-8.6,-15.1,-6.1,4,10.1,16.5,16.7,15.1,11.3,3.7,-2.1,-4.6,3.4
1948,-7,-10.6,-3.5,4.7,13.9,17.5,15.7,15.4,10.5,4.6,-0.2,-2.4,4.9
1949,-2.9,-4,-2.5,4.5,12.8,14.3,16.5,14.1,12.6,5.2,0.9,-2.1,5.8
1950,-15.1,-6.1,-2.9,7,10.4,14,15,14.2,11.4,4.9,-0.1,-3.8,4.1
1951,-10,-8.9,-6,5.1,7.7,15.1,15.6,17.7,11.5,3.5,-2.8,-1.6,3.9
1952,-2.6,-6,-11.2,4.4,8.6,14.1,16.5,14.9,9.2,3.5,-0.9,-4.1,3.9
1953,-9.6,-13.7,-3.3,4.9,9.9,17.1,17.3,15.4,9.7,6.9,-1,-4,4.1
1954,-11.1,-13.8,-1.9,2,11.6,16.1,17.7,15.6,11.1,5,-1,-2.5,4.1
1955,-6.7,-7.8,-7,-1.4,7.9,12.5,16.6,17.4,13.1,7.1,-2.4,-14.3,2.9
1956,-10.1,-16.8,-7,0,9.9,18.4,14.6,13,8.4,4.3,-3.4,-3.3,2.3
1957,-3.2,-1.9,-7.2,4.1,11.3,13.5,18.3,15.2,10.6,5.7,0.6,-3.6,5.3
1958,-8.1,-9.1,-7.5,1.6,10.5,13.6,16.1,14.1,9.7,6.1,1.5,-7.5,3.4
1959,-4.4,-4,-2.7,4.2,10.3,15.7,18.7,17,8,3.4,-2.6,-8.6,4.6
1960,-11.5,-10,-6.3,2.8,12.2,16.4,19.2,15.8,9,2.1,-2,0.5,4
1961,-4.6,-1.2,0.5,3.2,10.9,17.8,16.9,14.6,9.4,6.7,0.6,-6.2,5.7
1962,-3.9,-6,-9.2,5.1,10.2,12.1,15.4,13.8,10.2,6,0.6,-7.1,3.9
1963,-15.6,-12.3,-10.6,1.7,14.8,13.3,18.1,17.1,12.3,5.4,-0.8,-8.2,2.9
1964,-5,-11,-5.9,3.3,10.8,16.7,17.8,14.6,10.1,7.1,-2.4,-4.8,4.3
1965,-7.9,-11.2,-5.1,1.2,7.7,15.5,14.8,14.4,12.4,4.3,-7,-4,2.9
1966,-14.6,-12.8,-2,2.1,12.9,17.4,18.2,14.9,8.9,5.5,-0.8,-8.7,3.4
1967,-15,-8.4,0.1,4.4,13.4,15,16.4,16.6,12,8.5,2.7,-9.9,4.7
1968,-17.3,-8.9,-3.1,4.3,9.8,16.7,14.5,17.2,10.5,2.7,-2.1,-3.9,3.4
1969,-14.7,-10.8,-8.3,3.7,10.2,14.8,16.8,15.7,9.6,5,0.4,-8.5,2.8
1970,-12,-11.3,-2.3,3.8,11.8,16.2,17.8,15.7,10.2,4.4,-1.4,-6,3.9
1971,-3.3,-7.9,-4.5,3.2,11.7,15.6,16.8,16.1,9.8,4.1,-2.1,-4.3,4.6
1972,-14.7,-6,-3,3.3,11,18.2,21.4,19.2,11,4.2,-0.1,-0.3,5.4
1973,-7.9,-4.9,-2.1,4.9,11.8,16.9,19.5,16.4,7.5,3.3,-2.3,-7,4.7
1974,-8.7,-1.6,-0.9,3.1,8.3,16.1,19.9,15.3,12.8,7.1,1.8,-0.7,6
1975,-4,-5,1,2.7,14.9,14.8,18.5,15.6,12.3,3.5,-1.9,-3.7,5.7
1976,-12.4,-11.4,-5.4,3.1,10.4,12.4,16.4,13.9,9.1,-1.5,-0.7,-5.5,2.4
1977,-8.5,-9.1,-3.5,4.4,12.2,15.8,17.3,14.6,8.6,3.2,1.8,-8.3,4
1978,-9.2,-12.4,-2.4,2.5,10.8,14,15.9,14.6,9.1,3.2,2.5,-15.9,2.7
1979,-10.6,-12.5,-2.1,2.5,13.6,16.5,16,16.7,10.4,3.5,0,-4.1,4.2
1980,-11,-8.6,-7.2,4.9,7.6,18.1,16.7,14.6,10.5,5.5,-2.6,-4,3.7
1981,-5.6,-5.8,-6.1,1.8,13.1,16.7,19,15.1,10.3,7.4,-0.4,-6.6,4.9
1982,-11.9,-8.9,-1.3,3.4,10.8,12.5,17.3,15.6,10.5,4.9,2.5,-1.3,4.5
1983,-2.1,-9.1,-3,6.9,14.7,14.4,17.7,15.9,11.8,5.2,0,-3.6,5.7
1984,-4.9,-9,-3.9,5.7,14.9,14.8,17.2,13.8,11.3,6.9,-1.2,-5.8,5
1985,-14.2,-15.9,-3.6,1.5,11.8,13.9,16,17.6,9.6,6.9,-2.2,-7.2,2.9
1986,-7.2,-13.3,-1.9,3.2,11.6,17.5,18,14.8,7.6,4.1,2.4,-7.6,4.1
1987,-20.7,-6.1,-7.4,0.8,9.8,15.3,15.9,13.8,9.3,4.9,-2.4,-6,2.3
1988,-6.6,-5.2,-2.4,2.7,14.1,18.4,20.7,15.2,11.5,4.7,-5.8,-5.5,5.2
1989,-1.6,-0.2,1.5,7.3,12.7,18.4,18.2,15.7,11.8,5.2,-0.9,-5.6,6.9
1990,-4.9,0.5,1.7,8.4,999.9,999.9,999.9,999.9,9,5.4,999.9,-3,999.9
1991,-4.9,-7.8,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1992,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-3.7,999.9,999.9
1993,-3.7,999.9,-2.4,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1994,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1995,999.9,999.9,999.9,5.4,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1996,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1997,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1998,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-5.3,999.9
1999,-5.7,-7.9,-1.2,7.6,8.1,21.2,20.5,15.3,12,6.6,-1.4,-1,6.2
2000,-5.1,-3.2,-0.6,8.3,10.8,15.5,17.8,15.7,9.7,7.5,2.1,-1.8,6.4
2001,-3.1,-8,-3.7,8.5,10.5,15.6,21.6,16.1,11.9,5.9,-1.1,-10.7,5.3
2002,-4.8,-1.3,0.8,6.5,12.5,16.2,20.5,18.2,10.6,1,-2.5,-11.8,5.5
2003,-9.8,-6.7,-2.8,3.6,13.2,12.7,20.7,16,11.1,4.8,1.4,-1.5,5.2
2004,-8.8,-7.1,-1.2,4.9,10.5,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005,999.9,-8.7,-6.6,5.1,11.4,15.2,18.9,16.9,12.6,6,1.2,-4.4,999.9
2006,-7.9,-12,-6.2,5,11.4,16.4,18.2,17.5,12.9,7.5,1,2.3,5.5
2007,-3.5,-13.5,3.4,5.2,13.1,16.3,17.8,18.8,11.2,6.5,-1.7,-0.5,6.1
2008,-3.1,-0.6,0.5,7.6,11.5,15,17.6,16.1,10.3,7.7,1.9,-1.6,6.9
2009,-4.2,-4.2,-1.4,5,12.3,15.5,17.8,15.7,13,4.2,2,-5.6,5.8
2010,-14.4,-8.9,-2.9,6.2,14.8,16.5,24.1,19.3,11.2,3.7,0,-9.6,5
2011,-6.4,-11.8,-2.6,5.8,11.8,17.7,22.4,17.3,12.1,6.3,2.7,1.2,6.4
2012,-5.9,-12,-1.4,5.5,12.9,15.2,19.5,15.8,12,6,2.1,-8.1,5.1
2013,-8.2,-4.2,-7.2,3.9,15.8,19.4,18.3,17.3,11.2,6.3,3.6,-0.5,6.3
2014,-8.7,-1,2.1,6.8,13.7,15.1,20.4,17.6,12.2,3.8,-0.6,-2.9,6.5
2015,-2.9,-2.2,2,5.6,12.3,15.9,16.9,17.2,13.2,3.8,2.1,1.4,7.1
2016,-12.1,-0.4,-0.1,6.5,14.8,16.4,18.8,16.8,11.9,4.1,-2.8,-2.3,6
2017,-5.5,-4,0.9,3.3,9.4,13.5,16,16.9,12.1,5.2,1.1,-0.4,5.7
2018,-3.6,-9.1,-4.4,6,15.2,15.3,19.9,17.9,13.3,5.8,0.7,-4.2,6.1
2019,-6.9,-0.8,0.1,7,12.8,18.3,15.7,15.5,999.9,999.9,999.9,999.9,999.9
